Eurynorhynchus pygmaeus
Limicola falcinellus
Tryngites subruficollis
Philomachus pugnax
Phalaropus tricolor
Phalaropus lobatus
Phalaropus fulicarius
Larus crassirostris
Larus canus
Larus marinus
Larus glaucescens
Larus hyperboreus
Larus glaucoides
Larus argentatus
Larus fuscus
Larus heuglini
Larus vegae
Larus cachinnans
Larus armenicus
Larus ichthyaetus
Larus schistisagus
Larus ridibundus
Larus genei
Larus philadelphia
Larus saundersi
Larus melanocephalus
Larus relictus
Larus minutus
Larus brunnicephalus
Pagophila eburnea
Rhodostethia rosea
Xema sabini
Rissa brevirostris
Rissa tridactyla
Chlidonias niger
Chlidonias leucopterus
Chlidonias hybridus
Gelochelidon nilotica
Hydroprogne caspia
Sterna paradisaea
Sterna hirundo
Sterna camtschatica
Sterna aleutica
Onychoprion aleuticus
Sterna albifrons
Sternula albifrons
Thalasseus sandvicensis
Stercorarius maccormicki
Stercorarius skua
Stercorarius pomarinus
Stercorarius parasiticus
Stercorarius longicaudus
Alle alle
Uria aalge
Uria lomvia
Alca torda
Cepphus grylle
Cepphus columba
Cepphus carbo
Brachyramphus marmoratus
Brachyramphus brevirostris
Synthliboramphus antiquus
Synthliboramphus wumizusume
Ptychoramphus aleuticus
Aethia psittacula
Aethia cristatella
Aethia pygmaea
Aethia pusilla
Cerorhinca monocerata
Fratercula arctica
Fratercula corniculata
Fratercula cirrhata
Turnix tanki
Syrrhaptes paradoxus
Pterocles alchata
Pterocles orientalis
Columba janthina
Columba livia
Columba rupestris
Columba oenas
Columba eversmanni
Columba palumbus
Streptopelia turtur
Streptopelia orientalis
Streptopelia decaocto
Streptopelia tranquebarica
Streptopelia senegalensis
Treron sieboldii
Hierococcyx fugax
Cuculus micropterus
Cuculus canorus
Cuculus optatus
Cuculus poliocephalus
Clamator coromandus
Tyto alba
Otus bakkamoena
Otus scops
Otus sunia
Bubo bubo
Nyctea scandiaca
Bubo scandiacus
Ketupa blakistoni
Strix aluco
Strix uralensis
Strix nebulosa
Surnia ulula
Glaucidium passerinum
Athene noctua
Aegolius funereus
Ninox scutulata
Asio otus
Asio flammeus
Caprimulgus indicus
Caprimulgus europaeus
Hirundapus caudacutus
Apus melba
Tachymarptis melba
Apus apus
Apus pacificus
Selasphorus rufus
Megaceryle lugubris
Ceryle rudis
Alcedo atthis
Halcyon pileata
Halcyon coromanda
Eurystomus orientalis
Coracias garrulus
Merops persicus
Merops apiaster
Upupa epops
Jynx torquilla
Dendrocopos canicapillus
Dendrocopos kizuki
Dendrocopos minor
Dendrocopos hyperythrus
Dendrocopos medius
Dendrocopos leucotos
Dendrocopos major
Dendrocopos syriacus
Dendrocopos leucopterus
Picoides tridactylus
Dryocopus martius
Picus viridis
Picus canus
Melanocorypha leucoptera
Melanocorypha bimaculata
Alauda gulgula
Lullula arborea
Calandrella brachydactyla
Melanocorypha mongolica
Alauda arvensis
Eremophila alpestris
Calandrella rufescens
Calandrella cheleensis
Melanocorypha calandra
Galerida cristata
Melanocorypha yeltoniensis
Alauda japonica
Petrochelidon pyrrhonota
Riparia riparia
Riparia diluta
Delichon dasypus
Delichon urbicum
Hirundo rustica
Tachycineta bicolor
Cecropis daurica
Ptyonoprogne rupestris
Progne subis
Anthus rubescens
Anthus spinoletta
Anthus godlewskii
Anthus menzbieri
Anthus cervinus
Anthus trivialis
Anthus pratensis
Anthus campestris
Anthus hodgsoni
Anthus rufulus
Anthus gustavi
Anthus petrosus
Anthus richardi
Motacilla alba
Motacilla lugens
Motacilla personata
Motacilla grandis
Motacilla cinerea
Motacilla citreola
Motacilla werae
Motacilla flava
Motacilla tschutschensis
Motacilla lutea
Motacilla flava lutea
Motacilla taivana
Motacilla flava taivana
Motacilla feldegg
Motacilla flava feldegg
Dendronanthus indicus
Pericrocotus divaricatus
Microscelis amaurotis
Ixos amaurotis
Hypsipetes leucocephalus
Regulus regulus
Regulus ignicapilla
Regulus calendula
Bombycilla japonica
Bombycilla garrulus
Cinclus pallasii
Cinclus cinclus
Troglodytes troglodytes
Prunella collaris
Prunella himalayana
Prunella montanella
Prunella fulvescens
Prunella atrogularis
Prunella modularis
Prunella rubida
Erithacus rubecula
Myophonus caeruleus
Zoothera sibirica
Zoothera dauma
Catharus minimus
Catharus ustulatus
Catharus guttatus
Turdus atrogularis
Turdus hortulorum
Turdus cardis
Turdus torquatus
Turdus merula
Turdus obscurus
Turdus pallidus
Turdus chrysolaus
Turdus ruficollis
Turdus naumanni
Turdus pilaris
Turdus iliacus
Turdus philomelos
Turdus viscivorus
Turdus eunomus
Ixoreus naevius
Zoothera naevia
Saxicola caprata
Saxicola rubetra
Saxicola insignis
Saxicola rubicola
Saxicola maurus
Saxicola torquata
Oenanthe oenanthe
Oenanthe finschii
Oenanthe pleschanka
Oenanthe hispanica
Oenanthe xanthoprymna
Oenanthe deserti
